orderID,subj_gla,gla_clean,gla_diff,subj_lot_size,lot_size_clean,lot_size_diff,subj_bedrooms,bedrooms_clean,bedroom_diff,subj_bathrooms,bathrooms_clean,bathroom_diff,subj_room_count,room_count_clean,room_count_diff,subj_property_type,property_type_clean,same_property_type,subj_stories,stories_clean,same_storey_type,sale_date_clean,sold_recently_90,sold_recently_180
4752865,2974.0,2556.0,418.0,6512.219999999999,4628.5199999999995,1883.6999999999998,4.0,3.0,1.0,2.5,2.5,0.0,8.0,7.0,1.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,2024-08-25,0,0
4752865,2974.0,3364.0,390.0,6512.219999999999,7265.7,753.4800000000005,4.0,4.0,0.0,2.5,2.5,0.0,8.0,8.0,0.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,2025-01-24,1,1
4755196,2956.0,2596.0,360.0,3601.0,5541.0,1940.0,4.0,4.0,0.0,3.5,2.5,1.0,8.0,10.0,2.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,2025-02-07,1,1
4755196,2956.0,3351.0,395.0,3601.0,4085.0,484.0,4.0,4.0,0.0,3.5,3.5,0.0,8.0,10.0,2.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,2025-03-31,1,1
4755196,2956.0,3071.0,115.0,3601.0,4230.0,629.0,4.0,4.0,0.0,3.5,3.5,0.0,8.0,8.0,0.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,2025-03-08,1,1
4756192,1109.0,965.0,144.0,,,,2.0,2.0,0.0,2.0,2.0,0.0,5.0,6.0,1.0,High Rise Apartment,High Rise Apartment,1.0,1 Storey,1 Storey,1.0,2025-01-31,1,1
4756192,1109.0,980.69,128.30999999999995,,,,2.0,2.0,0.0,2.0,2.0,0.0,5.0,6.0,1.0,High Rise Apartment,High Rise Apartment,1.0,1 Storey,1 Storey,1.0,2025-02-12,1,1
4756192,1109.0,1037.62,71.38000000000011,,,,2.0,2.0,0.0,2.0,2.0,0.0,5.0,5.0,0.0,High Rise Apartment,High Rise Apartment,1.0,1 Storey,1 Storey,1.0,2025-03-27,1,1
4756320,1580.0,1425.0,155.0,3552.12,2723.292,828.828,3.0,3.0,0.0,2.5,2.5,0.0,5.0,5.0,0.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,2024-11-21,0,1
4756320,1580.0,1580.0,0.0,3552.12,3745.872,193.75199999999995,3.0,3.0,0.0,2.5,2.5,0.0,5.0,5.0,0.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,2024-10-12,0,1
4756320,1580.0,1440.0,140.0,3552.12,4370.183999999999,818.0639999999994,3.0,3.0,0.0,2.5,2.5,0.0,5.0,5.0,0.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,2025-02-27,1,1
4756829,1587.0,1569.0,18.0,1868.0,1722.0,146.0,3.0,3.0,0.0,3.5,3.5,0.0,6.0,6.0,0.0,Townhouse,Townhouse,1.0,2 Storey,2 Storey,1.0,2025-02-04,1,1
4756829,1587.0,1740.0,153.0,1868.0,1941.0,73.0,3.0,3.0,0.0,3.5,2.5,1.0,6.0,7.0,1.0,Townhouse,Townhouse,1.0,2 Storey,2 Storey,1.0,2025-02-21,1,1
4756829,1587.0,1515.0,72.0,1868.0,2417.0,549.0,3.0,3.0,0.0,3.5,2.5,1.0,6.0,6.0,0.0,Townhouse,Townhouse,1.0,2 Storey,2 Storey,1.0,2025-02-16,1,1
4757939,968.76,1065.636,96.87599999999998,6738.263999999999,5995.548,742.7159999999994,2.0,3.0,1.0,2.0,2.0,0.0,5.0,5.0,0.0,Detached,Detached,1.0,Bungalow,Bi-Level,0.0,2025-02-26,1,1
4757939,968.76,624.312,344.448,6738.263999999999,5995.548,742.7159999999994,2.0,1.0,1.0,2.0,1.0,1.0,5.0,4.0,1.0,Detached,Detached,1.0,Bungalow,Bungalow,1.0,2025-01-03,0,1
4757939,968.76,947.232,21.52800000000002,6738.263999999999,5995.548,742.7159999999994,2.0,2.0,0.0,2.0,2.0,0.0,5.0,5.0,0.0,Detached,Detached,1.0,Bungalow,Bungalow,1.0,2025-01-06,0,1
4757966,1039.0,1130.0,91.0,,,,2.0,2.0,0.0,2.0,2.0,0.0,5.0,7.0,2.0,Low Rise Apartment,Low Rise Apartment,1.0,1 Storey,1 Storey,1.0,2025-04-04,1,1
4757966,1039.0,950.0,89.0,,,,2.0,2.0,0.0,2.0,2.0,0.0,5.0,6.0,1.0,Low Rise Apartment,Low Rise Apartment,1.0,1 Storey,1 Storey,1.0,2025-03-11,1,1
4757966,1039.0,1060.09,21.089999999999918,,,,2.0,2.0,0.0,2.0,2.0,0.0,5.0,6.0,1.0,Low Rise Apartment,Low Rise Apartment,1.0,1 Storey,1 Storey,1.0,2025-03-12,1,1
