orderID,id,subject_address,subject_gla_clean,subject_bedrooms_clean,subject_bathrooms_clean,subject_room_count_clean,subject_lot_size_clean,subject_property_type_clean,subject_stories_clean,subject_effective_date_clean,candidate_address,candidate_gla_clean,candidate_bedrooms_clean,candidate_bathrooms_clean,candidate_room_count_clean,candidate_lot_size_clean,candidate_property_type_clean,candidate_stories_clean,candidate_close_date_clean,score,rank
4761446,2763,5004 Fox Run Pl Kingston ON K7P0E4,1678.0,3.0,2.0,7.0,5663.0,Detached,Bungalow,2025-04-10,784 Downing St,1250.0,5.0,2.0,12.0,7150.0,Detached,Split Level,2025-01-17,3.0896237,2.0
4761446,52,5004 Fox Run Pl Kingston ON K7P0E4,1678.0,3.0,2.0,7.0,5663.0,Detached,Bungalow,2025-04-10,1028 Bauder Cres,900.0,2.0,2.0,10.0,8250.0,Detached,Bungalow Raised,2025-01-25,3.0896237,3.0
4759647,297612,201 Halfway Lake Dr Hammonds Plains NS B4B1M8,2264.0,4.0,2.5,9.0,33943.0,Detached,2 Storey,2025-04-10,1 Grandview Court,2408.0,3.0,2.5,12.0,33888.0,Detached,2 Storey,2025-01-27,3.0896237,1.0
4759647,299967,201 Halfway Lake Dr Hammonds Plains NS B4B1M8,2264.0,4.0,2.5,9.0,33943.0,Detached,2 Storey,2025-04-10,20 Paula Drive,1341.0,3.0,3.0,11.0,31901.0,Detached,Split Level,2025-04-03,3.0896237,2.0
4759647,299653,201 Halfway Lake Dr Hammonds Plains NS B4B1M8,2264.0,4.0,2.5,9.0,33943.0,Detached,2 Storey,2025-04-10,201 Halfway Lake Drive,2045.0,4.0,3.5,11.0,33944.0,Detached,2 Storey,2025-04-16,3.0896237,3.0
4759723,2822,5 Golflinks Dr Ottawa ON K2J 4X9,2530.0,3.0,3.5,9.0,5987.0,Detached,2 Storey,2025-04-09,2 KNOTWOOD Crt,2500.0,5.0,3.0,17.0,8106.36,Detached,2 Storey,2025-01-09,3.0896237,1.0
4759723,288,5 Golflinks Dr Ottawa ON K2J 4X9,2530.0,3.0,3.5,9.0,5987.0,Detached,2 Storey,2025-04-09,949 Rossburn Cres,2488.0,4.0,3.5,9.0,5433.78,Detached,2 Storey,2025-01-16,3.0896237,2.0
4759723,259,5 Golflinks Dr Ottawa ON K2J 4X9,2530.0,3.0,3.5,9.0,5987.0,Detached,2 Storey,2025-04-09,3590 CAMBRIAN Rd,2114.0,4.0,4.0,17.0,2955.0,Detached,2 Storey,2025-01-17,3.0896237,3.0
4760530,266309,3435 Vandorf Siderd Stouffville ON L4A4H5,2149.0,4.0,3.5,7.0,438082.92,Detached,Bungalow Raised,2025-04-14,3948 Vandorf Side Road ,2250.0,4.0,0.0,6.0,440502.0,Detached,Bungalow Raised,2025-03-28,3.0002503,1.0
4760530,179657,3435 Vandorf Siderd Stouffville ON L4A4H5,2149.0,4.0,3.5,7.0,438082.92,Detached,Bungalow Raised,2025-04-14,36 Cobb Street ,2250.0,4.0,0.0,8.0,3161.0,Detached,2 Storey,2024-10-19,-2.4180098,2.0
4760530,175442,3435 Vandorf Siderd Stouffville ON L4A4H5,2149.0,4.0,3.5,7.0,438082.92,Detached,Bungalow Raised,2025-04-14,2 Cobb St ,2266.0,3.0,0.0,9.0,5123.0,Detached,2 Storey,2024-10-24,-2.4180098,3.0
4760630,158004,118 Colborne St Kingston ON K7K 1C9,1840.0,4.0,1.0,8.0,1742.0,Townhouse,2.5 Storey,2025-04-10,36 Lower Union Street ,900.0,4.0,0.0,8.0,924.0,Townhouse,2 Storey,2025-01-14,3.0896237,1.0
4760630,196003,118 Colborne St Kingston ON K7K 1C9,1840.0,4.0,1.0,8.0,1742.0,Townhouse,2.5 Storey,2025-04-10,133 William Street ,2250.0,5.0,0.0,9.0,2014.0,Townhouse,2.5 Storey,2025-01-20,3.0896237,2.0
4760630,77085,118 Colborne St Kingston ON K7K 1C9,1840.0,4.0,1.0,8.0,1742.0,Townhouse,2.5 Storey,2025-04-10,118 Stephen St N ,1174.0,3.0,1.0,9.0,3780.0,Townhouse,2 Storey,2025-02-20,3.0896237,3.0
